sex,race,age,partyid,relig,numgiven,close12,close13,close14,close15,close23,close24,close25,close34,close35,close45,sex1,sex2,sex3,sex4,sex5,race1,race2,race3,race4,race5,educ1,educ2,educ3,educ4,educ5,age1,age2,age3,age4,age5,relig1,relig2,relig3,relig4,relig5
male,white,47,strong democrat,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA
male,other,NA,independent,hinduism,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,22,not str republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,34,"ind,near rep",catholic,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,1,Bachelors,Bachelors,NA,NA,30,38,36,NA,NA,catholic,protestant,protestant,NA,NA
female,white,38,not str republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,47,"ind,near rep",other,3,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,1,Bachelors,Bachelors,NA,NA,65,49,45,NA,NA,protestant,other,other,NA,NA
female,white,31,independent,protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,Bachelors,NA,NA,NA,45,40,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,34,not str republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,35,NA,NA,NA,NA,protestant,NA,NA,NA,NA
male,white,25,not str republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,26,NA,NA,NA,NA,protestant,NA,NA,NA,NA
male,white,49,strong republican,none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,46,NA,NA,NA,NA,none,NA,NA,NA,NA
male,white,34,not str republican,protestant,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,0,1,NA,NA,2,0,0,NA,NA,1,Bachelors,h.s. grad,NA,NA,31,51,49,NA,NA,catholic,protestant,protestant,NA,NA
male,white,31,strong democrat,none,3,1,1,NA,NA,2,NA,NA,NA,NA,NA,0,0,1,NA,NA,1,0,0,NA,NA,0,Some College,Some College,NA,NA,32,50,32,NA,NA,protestant,protestant,none,NA,NA
female,white,45,strong republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,29,NA,NA,NA,NA,protestant,NA,NA,NA,NA
male,black,34,independent,none,5,2,2,2,2,2,2,2,2,2,2,0,1,1,1,0,1,1,1,1,1,0,Bachelors,h.s. grad,Some College,Bachelors,57,56,34,27,37,protestant,protestant,protestant,other,other
female,black,30,not str democrat,protestant,4,1,1,2,NA,0,2,NA,1,NA,NA,0,1,1,1,NA,1,1,1,1,NA,0,Some College,Bachelors,Bachelors,NA,41,28,40,27,NA,protestant,protestant,protestant,protestant,NA
female,black,19,not str democrat,protestant,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,Some College,Some College,NA,NA,19,23,19,NA,NA,protestant,protestant,protestant,NA,NA
male,white,33,not str republican,protestant,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,h.s. grad,NA,NA,NA,24,NA,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,31,independent,none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,30,NA,NA,NA,NA,none,NA,NA,NA,NA
male,black,38,strong democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,30,independent,protestant,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,1,Bachelors,NA,NA,NA,45,50,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,50,strong democrat,protestant,6,1,1,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,Grad,Grad,h.s. grad,h.s. grad,40,37,38,43,76,none,protestant,protestant,none,protestant
male,white,24,strong republican,protestant,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,24,48,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,44,"ind,near rep",protestant,3,0,2,NA,NA,2,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,1,Grad,Grad,NA,NA,56,51,50,NA,NA,other,other,other,NA,NA
female,white,33,independent,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,27,not str democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,45,independent,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,49,other party,protestant,3,2,2,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,Less than high school,NA,NA,NA,45,29,53,NA,NA,protestant,protestant,protestant,NA,NA
female,black,44,"ind,near rep",protestant,5,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,Some College,Less than high school,Bachelors,Bachelors,43,50,42,36,41,other,other,protestant,other,other
male,white,28,not str democrat,none,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,Some College,NA,NA,NA,32,31,NA,NA,NA,NA,NA,NA,NA,NA
male,white,50,"ind,near rep",other eastern,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,1,h.s. grad,Grad,NA,NA,50,40,56,NA,NA,NA,catholic,protestant,NA,NA
male,white,24,not str democrat,none,4,0,0,0,NA,0,0,NA,0,NA,NA,1,1,0,0,NA,0,0,0,0,NA,1,Grad,Bachelors,Bachelors,NA,50,30,25,25,NA,other,NA,NA,catholic,NA
male,white,26,"ind,near rep",other,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,1,Bachelors,NA,NA,NA,57,61,NA,NA,NA,other,other,NA,NA,NA
male,black,64,strong democrat,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,70,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,black,57,strong democrat,protestant,4,2,1,1,NA,1,1,NA,1,NA,NA,1,1,1,1,NA,1,1,1,1,NA,1,Grad,Grad,Bachelors,NA,82,59,51,55,NA,protestant,other,protestant,protestant,NA
female,black,59,"ind,near rep",protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,85,NA,NA,NA,NA,protestant,NA,NA,NA,NA
male,white,66,strong democrat,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,68,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,other,42,independent,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,41,independent,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,69,NA,NA,NA,NA,catholic,NA,NA,NA,NA
male,white,37,not str republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,34,NA,NA,NA,NA,none,NA,NA,NA,NA
female,black,44,strong democrat,protestant,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,h.s. grad,NA,NA,NA,43,66,NA,NA,NA,protestant,protestant,NA,NA,NA
female,white,58,"ind,near rep",protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,Bachelors,NA,NA,NA,57,27,NA,NA,NA,protestant,protestant,NA,NA,NA
female,other,48,independent,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,53,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,50,strong republican,christian,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,23,NA,NA,NA,NA,other,NA,NA,NA,NA
female,white,54,strong republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,54,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,white,35,strong republican,catholic,5,0,2,2,2,2,2,2,2,2,2,1,0,1,1,0,2,0,0,2,0,1,Bachelors,NA,h.s. grad,Some College,46,55,52,63,36,catholic,catholic,protestant,catholic,protestant
female,white,38,strong republican,none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,37,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,white,45,strong republican,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,Bachelors,NA,NA,NA,52,44,NA,NA,NA,catholic,protestant,NA,NA,NA
female,black,43,strong democrat,protestant,4,1,2,2,NA,0,0,NA,1,NA,NA,0,0,1,1,NA,1,0,1,1,NA,0,h.s. grad,Bachelors,h.s. grad,NA,45,46,42,51,NA,protestant,catholic,catholic,catholic,NA
male,white,45,strong republican,christian,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,40,"ind,near rep",protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,47,NA,NA,NA,NA,protestant,NA,NA,NA,NA
male,white,57,"ind,near rep",protestant,3,2,2,NA,NA,1,NA,NA,NA,NA,NA,1,0,1,NA,NA,0,0,0,NA,NA,1,h.s. grad,Less than high school,NA,NA,56,32,15,NA,NA,protestant,none,NA,NA,NA
female,other,48,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,18,independent,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,53,not str democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,40,strong democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,74,strong republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,61,strong republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,29,independent,christian,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,24,not str democrat,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,36,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,27,"ind,near dem",protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,55,NA,NA,NA,NA,protestant,NA,NA,NA,NA
male,white,38,not str republican,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,50,strong republican,catholic,3,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,0,0,NA,NA,0,Grad,Grad,NA,NA,51,52,56,NA,NA,catholic,protestant,NA,NA,NA
male,other,24,independent,none,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,2,1,NA,NA,NA,0,h.s. grad,NA,NA,NA,25,23,NA,NA,NA,none,none,NA,NA,NA
male,white,48,independent,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,h.s. grad,NA,NA,NA,19,46,NA,NA,NA,catholic,catholic,NA,NA,NA
female,white,46,strong republican,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,67,"ind,near rep",jewish,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,white,26,not str democrat,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,46,23,NA,NA,NA,catholic,none,NA,NA,NA
female,white,63,not str democrat,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,62,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,47,"ind,near rep",catholic,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,1,Bachelors,Bachelors,NA,NA,67,47,48,NA,NA,jewish,catholic,catholic,NA,NA
male,other,26,independent,other,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,67,strong democrat,catholic,4,2,2,2,NA,2,2,NA,2,NA,NA,0,1,1,1,NA,0,0,0,0,NA,0,Bachelors,Grad,Bachelors,NA,70,68,39,68,NA,catholic,catholic,catholic,catholic,NA
female,other,26,independent,protestant,3,1,1,NA,NA,2,NA,NA,NA,NA,NA,0,1,1,NA,NA,3,3,3,NA,NA,0,Bachelors,Grad,NA,NA,36,26,26,NA,NA,protestant,none,protestant,NA,NA
male,white,57,strong democrat,catholic,6,2,1,1,2,1,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,Grad,Grad,Grad,Grad,46,48,59,63,58,catholic,catholic,other,jewish,catholic
female,white,54,not str republican,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,30,"ind,near dem",protestant,3,1,2,NA,NA,0,NA,NA,NA,NA,NA,1,1,0,NA,NA,1,1,1,NA,NA,1,h.s. grad,h.s. grad,NA,NA,33,30,27,NA,NA,none,none,protestant,NA,NA
female,other,32,"ind,near dem",catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,34,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,black,40,not str democrat,christian,3,2,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,Some College,h.s. grad,NA,NA,60,30,48,NA,NA,other,other,other,NA,NA
male,black,29,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,56,strong democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,20,strong democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,29,not str republican,protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,0,Less than high school,NA,NA,NA,24,27,NA,NA,NA,protestant,protestant,NA,NA,NA
female,white,22,strong republican,protestant,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,1,Less than high school,Less than high school,NA,NA,50,55,58,NA,NA,protestant,protestant,protestant,NA,NA
male,white,65,strong republican,none,4,1,1,1,NA,1,1,NA,1,NA,NA,1,1,0,0,NA,0,0,0,0,NA,1,Bachelors,Less than high school,Bachelors,NA,60,42,35,39,NA,protestant,NA,protestant,protestant,NA
female,white,51,independent,protestant,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,47,41,NA,NA,NA,none,protestant,NA,NA,NA
female,white,47,independent,protestant,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,h.s. grad,NA,NA,NA,48,51,NA,NA,NA,protestant,protestant,NA,NA,NA
female,white,26,not str republican,catholic,5,1,2,1,2,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,Bachelors,h.s. grad,Grad,Some College,26,34,29,26,31,protestant,protestant,NA,NA,protestant
female,black,39,independent,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,52,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,50,strong democrat,other,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,57,strong republican,protestant,5,2,2,1,2,2,1,2,2,2,2,0,1,1,1,1,0,0,0,0,0,0,h.s. grad,Bachelors,Bachelors,Bachelors,55,28,27,29,31,protestant,protestant,none,none,catholic
male,white,43,strong republican,protestant,3,1,2,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,Some College,h.s. grad,NA,NA,38,42,42,NA,NA,protestant,protestant,protestant,NA,NA
male,white,50,not str democrat,protestant,6,2,2,2,2,2,1,2,1,2,1,1,1,0,0,1,0,0,0,0,0,1,Less than high school,Less than high school,Less than high school,Less than high school,49,33,30,46,25,protestant,protestant,protestant,protestant,protestant
female,white,19,"ind,near dem",catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,Some College,NA,NA,NA,44,24,NA,NA,NA,catholic,catholic,NA,NA,NA
male,black,57,not str democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,45,"ind,near dem",protestant,5,2,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,h.s. grad,Some College,Some College,Some College,37,36,54,42,43,NA,protestant,protestant,NA,protestant
male,white,68,strong republican,protestant,6,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,h.s. grad,Grad,Some College,Bachelors,67,63,68,68,69,protestant,protestant,protestant,protestant,protestant
female,white,35,strong republican,protestant,6,1,1,0,0,2,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,Bachelors,h.s. grad,Bachelors,h.s. grad,26,48,55,46,45,protestant,other,other,other,other
male,white,34,"ind,near rep",protestant,5,2,2,1,2,2,0,1,0,2,2,1,0,1,1,0,0,0,0,0,0,1,Bachelors,Bachelors,Bachelors,Grad,47,40,38,53,73,protestant,protestant,protestant,protestant,protestant
female,white,60,strong republican,none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,57,NA,NA,NA,NA,none,NA,NA,NA,NA
male,white,61,independent,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,white,30,independent,protestant,4,2,0,1,NA,0,1,NA,2,NA,NA,0,0,1,0,NA,0,0,0,0,NA,0,h.s. grad,Some College,Some College,NA,34,32,33,31,NA,other,other,none,protestant,NA
male,white,62,strong republican,protestant,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,0,1,1,NA,NA,0,0,0,NA,NA,0,h.s. grad,h.s. grad,NA,NA,33,30,54,NA,NA,protestant,protestant,protestant,NA,NA
male,white,33,strong republican,protestant,5,2,2,2,0,2,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,Bachelors,Bachelors,Bachelors,Bachelors,59,82,28,27,40,protestant,protestant,protestant,protestant,catholic
female,black,51,not str democrat,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,57,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,white,46,"ind,near dem",inter-nondenominational,6,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,Bachelors,Grad,Bachelors,Some College,32,30,35,38,73,other,other,other,other,catholic
male,black,45,not str democrat,christian,3,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,0,1,NA,NA,1,1,1,NA,NA,1,Less than high school,Less than high school,NA,NA,36,44,61,NA,NA,other,other,other,NA,NA
female,black,23,strong republican,protestant,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,23,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,white,56,"ind,near rep",none,3,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,2,2,2,NA,NA,0,h.s. grad,h.s. grad,NA,NA,40,46,43,NA,NA,catholic,catholic,catholic,NA,NA
female,black,34,other party,other,6,2,1,0,0,1,0,0,0,0,2,1,0,1,1,1,0,1,1,0,1,1,Less than high school,Some College,Some College,h.s. grad,44,44,53,50,36,NA,NA,protestant,NA,NA
male,black,41,not str democrat,protestant,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,0,Bachelors,NA,NA,NA,56,43,NA,NA,NA,protestant,protestant,NA,NA,NA
male,white,44,"ind,near rep",protestant,3,1,1,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,1,Some College,Bachelors,NA,NA,43,43,40,NA,NA,protestant,protestant,NA,NA,NA
male,white,55,strong republican,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,53,NA,NA,NA,NA,protestant,NA,NA,NA,NA
female,white,32,strong democrat,catholic,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,Some College,NA,NA,NA,34,33,NA,NA,NA,catholic,other,NA,NA,NA
male,white,42,not str republican,protestant,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,1,Grad,Bachelors,NA,NA,33,46,43,NA,NA,protestant,protestant,catholic,NA,NA
male,white,46,not str democrat,catholic,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,36,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,53,"ind,near dem",protestant,3,2,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,NA,NA,0,0,0,NA,NA,0,Some College,h.s. grad,NA,NA,33,35,63,NA,NA,protestant,protestant,catholic,NA,NA
female,white,52,"ind,near rep",protestant,4,1,1,2,NA,1,1,NA,2,NA,NA,0,1,1,1,NA,0,0,0,0,NA,0,Grad,Grad,Bachelors,NA,53,50,53,27,NA,none,protestant,protestant,protestant,NA
